OMoD,Companies,Cantons,Zip_codes,Cities,Streets,Group,latitude,longitude
19500138,"Urs & Beat Habegger, Schlosserei + Landmaschinen",ZH,8127,Forch,Bundtstrasse 7,Remettantes,47.3263813,8.6504207
19400009,"Imt, Masken + Teilungen AG",ZH,8606,Greifensee,Im Langacher,Remettantes,47.3660156,8.6844212
19300116,Wefag Maschinenbau AG,ZH,8117,Fällanden,Huebwisstrasse 2,Remettantes,47.3758966,8.6408713
19300053,Meiko (Suisse) AG,ZH,8117,Fällanden,Industriestr. 9,Remettantes,47.3766343,8.641958
19300015,Bruker Switzerland AG,ZH,8117,Fällanden,Industriestrasse 26,Remettantes,47.3778303,8.6426746
19300005,Walt AG,ZH,8117,Fällanden,Industriestr. 5,Remettantes,47.3761319,8.641539
19200161,Kunz Transport AG,ZH,8133,Esslingen,Asp 4,Remettantes,47.2963354,8.7064826
19200108,Gemeindeverwaltung Egg b. Zürich,ZH,8132,Egg b. Zürich ZH,Forchstrasse 145,Remettantes,47.3015913,8.6892052
19200015,Rhyner am Pfannenstiel,ZH,8132,Egg bei ZÜRICH,Gewerbestr. 4,Remettantes,47.302596,8.6916811
19100763,Agensa AG,ZH,8602,Wangen b. Dübendorf,Pünten 5,Remettantes,47.4043865,8.6493742
19100730,praxis 0-18,ZH,8600,Dübendorf,Adlerstrasse 1,Remettantes,47.3976122,8.6165622
19100679,BELFOR (Suisse) AG,ZH,8600,Dübendorf,Im Schlossacher 15,Remettantes,47.3940139,8.6416092
19100554,Degrémont Technologies Ltd,ZH,8600,Dübendorf,Stettbachstr. 1,Remettantes,47.3943661,8.602757
19100469,Nycomed Pharma AG,ZH,8600,Dübendorf,Wallisellenstrasse 55,Remettantes,47.400191,8.6155414
19100463,Terlinden Textilreinigung,ZH,8600,Dübendorf,Wilstrasse 16,Remettantes,47.3963609,8.6168312
19100076,Renold (Schweiz) GmbH,ZH,8600,Dübendorf,Ringstr. 16,Remettantes,47.3989123,8.6047149
19100002,Collini AG,ZH,8600,Dübendorf,Ringstrasse 9,Remettantes,47.3999144,8.6063121
18100055,Berwert Andreas,ZH,8492,Wila,Schweissrütistrasse1,Remettantes,47.4070894,8.851922
17800022,Arnold Winkler,ZH,8332,Russikon,Madetswilerstr. 18,Remettantes,47.3950971,8.7784499
17700341,Strandbad Baumen,ZH,8330,Pfäffikon,Baumenstrasse 40,Remettantes,47.3593541,8.7866062
17700278,MOVERICH,ZH,8330,Pfäffikon,Ruetschbergstrasse 13,Remettantes,47.3539236,8.766957
